ids,linkselect,imSource,linkselect-href,AuthorName,rating,reviews,genre,pages,IND,US,AUS,ZFA,UAE,UK,CAN,FRA,ratRank,revRank,popScore,critScore,isSeries,seriesid,sg1,sg2,sg3,sg4
500,ADancetotheMusicofTime:1stMovement(Paperback),11.jpg,https://www.goodreads.com/book/show/16113.A_Dance_to_the_Music_of_Time,Anthony Powell,3.96,2771,Fiction,718,205,432,528,13,10,111,146,274,292,500,0.121,0.104,,,444,63,156,460
433,ADeathintheFamily(Paperback),12.jpg,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family,James Agee,3.92,9125,Fiction,320,318,435,543,144,125,333,81,114,330,433,0.214,0.224,,,298,125,47,347
242,Aesop'sFables(Paperback),13.jpg,https://www.goodreads.com/book/show/21348.Aesop_s_Fables,"Aesop, Laura Gibbs",4.04,78188,Classics,306,485,765,438,122,42,205,104,185,222,242,0.611,0.6,,,494,242,222,283
162,AFarewelltoArms(Paperback),14.jpg,https://www.goodreads.com/book/show/10799.A_Farewell_to_Arms,Ernest Hemingway,3.77,161566,Fiction,293,215,530,74,94,72,181,163,302,440,162,0.739,0.721,,,21,65,401,159
230,AFineBalance(Paperback),15.jpg,https://www.goodreads.com/book/show/5211.A_Fine_Balance,Rohinton Mistry,4.33,84316,Culture,603,509,367,305,225,126,107,148,53,38,230,0.625,0.617,,,528,11,11,261
490,AFortunateLife(Paperback),16.jpg,https://www.goodreads.com/book/show/1189454.A_Fortunate_Life,Albert B. Facey,4.09,3570,Biography,331,539,274,452,225,124,246,180,104,181,490,0.139,0.12,,,435,28,506,373
37,AGameofThrones(ASongofIceandFire#1),17.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,George R.R. Martin,4.44,935755,Fantasy,835,432,232,190,158,134,198,125,213,20,37,0.934,0.928,,,291,463,455,254
394,AHandfulofDust(Paperback),18.jpg,https://www.goodreads.com/book/show/531262.A_Handful_of_Dust,Evelyn Waugh,3.91,14413,Fiction,308,46,278,316,205,121,453,104,44,336,394,0.293,0.326,,,87,521,544,102
193,AHeartbreakingWorkofStaggeringGenius(Paperback),19.jpg,https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius,Dave Eggers,3.66,129420,Autobiography,496,386,305,476,20,111,467,48,112,499,193,0.702,0.671,,,40,544,94,458
378,AHistoryofWesternPhilosophy(Paperback),20.jpg,https://www.goodreads.com/book/show/243685.A_History_of_Western_Philosophy,Bertrand Russell,4.03,16531,Philosophy,895,590,712,327,225,30,261,169,290,230,378,0.311,0.347,,,348,431,170,307
546,AlexanderofMacedon(MassMarketPaperback),21.jpg,https://www.goodreads.com/book/show/648084.Alexander_of_Macedon,Harold Lamb,3.84,122,History,403,41,368,419,193,19,110,214,235,389,546,0.019,0.021,,,472,120,350,130
111,Alice'sAdventuresinWonderland&ThroughtheLooking-Glass(MassMarketPaperback),22.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)",4.05,316351,Fiction,239,396,200,256,177,151,121,201,189,207,111,0.814,0.802,,,212,131,141,321
126,AliceinWonderland(Alice'sAdventuresinWonderland#1),23.jpg,https://www.goodreads.com/book/show/13023.Alice_in_Wonderland,"Lewis Carroll, Rene Cloke (Illustrator)",3.99,263394,Classics,92,457,774,492,219,65,267,41,177,259,126,0.786,0.777,,,125,8,175,437
497,AliceinWonderland(LadybirdClassics),24.jpg,https://www.goodreads.com/book/show/138516.Alice_in_Wonderland,"Joan  Collins (Adaptor), Lewis Carroll, David Frankland (Illustrator)",3.98,3036,Classics,56,483,409,95,143,41,391,63,331,269,497,0.125,0.111,,,63,172,381,53
483,ALionCalledChristian:TheTrueStoryoftheRemarkableBondBetweenTwoFriendsandaLion(Hardcover),25.jpg,https://www.goodreads.com/book/show/6113349-a-lion-called-christian,"Anthony Bourke, John Rendall, George Adamson (Foreword)",4.03,4253,NonFiction,226,87,565,344,56,139,164,159,178,229,483,0.148,0.142,,,472,251,456,321
399,AllIReallyNeedtoKnowILearnedinKindergarten(Paperback),26.jpg,https://www.goodreads.com/book/show/34760.All_I_Really_Need_to_Know_I_Learned_in_Kindergarten,Robert Fulghum,4,13351,NonFiction,240,120,286,229,185,75,449,91,304,250,399,0.288,0.308,,,474,93,391,33
337,AllthePresident'sMen(Paperback),27.jpg,https://www.goodreads.com/book/show/96123.All_the_President_s_Men,"Carl Bernstein, Bob Woodward",4.13,26538,NonFiction,480,109,242,254,157,111,341,160,105,148,337,0.391,0.416,,,220,321,70,337
276,AllthePrettyHorses(TheBorderTrilogy#1),28.jpg,https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses,Cormac McCarthy,3.94,54839,Fiction,302,380,145,318,73,173,113,20,33,310,276,0.512,0.534,,,444,99,321,122
533,America'sGreatDepression(Hardcover),29.jpg,https://www.goodreads.com/book/show/81980.America_s_Great_Depression,Murray N. Rothbard,4.2,450,Economics,368,53,345,588,182,86,207,131,158,108,533,0.046,0.046,,,438,467,10,370
104,AmericanGods(AmericanGods#1),30.jpg,https://www.goodreads.com/book/show/4407.American_Gods,Neil Gaiman (Goodreads Author),4.1,336182,Fantasy,656,139,278,146,153,64,317,216,192,173,104,0.822,0.812,,,407,87,538,219
325,AmericanPastoral(TheAmericanTrilogy#1),31.jpg,https://www.goodreads.com/book/show/11650.American_Pastoral,Philip Roth,3.91,31266,Fiction,432,571,498,390,25,169,429,184,186,335,325,0.413,0.443,,,448,268,455,391
186,AmericanPsycho(Paperback),32.jpg,https://www.goodreads.com/book/show/28676.American_Psycho,Bret Easton Ellis,3.8,132045,Fiction,399,41,692,462,68,165,191,98,345,418,186,0.71,0.679,,,515,43,117,443
357,AnAmericanTragedy(Paperback),33.jpg,https://www.goodreads.com/book/show/331319.An_American_Tragedy,"Theodore Dreiser, Richard R. Lingeman (Introduction)",3.91,21646,Classics,859,485,638,416,97,139,345,66,290,334,357,0.357,0.379,,,496,128,466,514
543,AncientInventions(Paperback),34.jpg,https://www.goodreads.com/book/show/703346.Ancient_Inventions,"Peter  James, Nick Thorpe",4.12,180,History,704,102,475,581,121,128,496,83,296,152,543,0.025,0.023,,,247,202,263,207
541,Andromache(Paperback),35.jpg,https://www.goodreads.com/book/show/664965.Andromache,"Euripides, Marianne McDonald (Translator), F. Michael Walton (Translator), J. Michael Wilson (Translation)",3.71,216,Classics,128,46,387,194,121,59,230,164,216,485,541,0.026,0.026,,,93,465,239,160
172,AndtheMountainsEchoed(Hardcover),36.jpg,https://www.goodreads.com/book/show/16115612-and-the-mountains-echoed,Khaled Hosseini (Goodreads Author),4.01,151534,History,404,268,315,308,152,77,164,133,210,240,172,0.729,0.702,1,1,205,421,305,313
123,AndThenThereWereNone(Paperback),37.jpg,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,Agatha Christie,4.2,273703,Mystery,264,143,136,193,10,113,126,117,290,107,123,0.794,0.787,,,114,471,257,59
236,ANewEarth:AwakeningtoYourLife'sPurpose(Paperback),38.jpg,https://www.goodreads.com/book/show/76334.A_New_Earth,Eckhart Tolle,3.97,81122,NonFiction,316,435,257,303,13,84,452,61,130,286,236,0.616,0.608,,,514,93,128,378
12,Angels&Demons(RobertLangdon#1),39.jpg,https://www.goodreads.com/book/show/960.Angels_Demons,Dan Brown (Goodreads Author),3.8,1450063,Fiction,713,171,372,115,58,173,296,122,187,417,12,0.97,0.977,1,2,218,242,96,366
519,AngelsEverywhere(Paperback),40.jpg,https://www.goodreads.com/book/show/612395.Angels_Everywhere,Debbie Macomber (Goodreads Author),4.2,1003,Romance,640,109,247,582,28,22,493,55,219,106,519,0.07,0.077,,,494,20,138,393
321,AngleofRepose(Paperback),41.jpg,https://www.goodreads.com/book/show/292408.Angle_of_Repose,Wallace Stegner,4.27,33011,Fiction,569,23,530,8,83,53,227,24,99,67,321,0.418,0.451,,,493,452,225,33
8,AnimalFarm(Paperback),42.jpg,https://www.goodreads.com/book/show/7613.Animal_Farm,George Orwell,3.81,1500561,Classics,152,507,337,287,43,177,172,209,334,407,8,0.984,0.991,,,112,93,209,548
387,Animalia(Hardcover),43.jpg,https://www.goodreads.com/book/show/682751.Animalia,Graeme Base,4.27,15191,Childrens,32,362,133,284,79,167,313,157,158,66,387,0.302,0.332,,,68,325,204,190
101,AnnaKarenina(Paperback),44.jpg,https://www.goodreads.com/book/show/15823480-anna-karenina,"Leo Tolstoy, Louise Maude (Translation), Alymer Maude (Translation)",3.99,339692,Classics,964,298,107,246,172,84,425,155,91,258,101,0.828,0.814,,,139,230,422,168
79,AnneofGreenGables(AnneofGreenGables#1),45.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,L.M. Montgomery,4.2,432808,Classics,320,220,556,81,145,152,163,137,193,105,79,0.863,0.854,,,96,219,348,404
233,Anthem(Paperback),46.jpg,https://www.goodreads.com/book/show/667.Anthem,Ayn Rand,3.61,82871,Fiction,105,118,196,380,177,158,191,189,330,516,233,0.622,0.613,,,34,55,21,296
305,APassagetoIndia(Paperback),47.jpg,https://www.goodreads.com/book/show/45195.A_Passage_to_India,"E.M. Forster, Oliver Stallybrass (Editor ), Pankaj Mishra (Introduction )",3.63,38452,Classics,376,395,406,591,142,121,318,47,60,511,305,0.444,0.492,,,23,86,514,34
237,APortraitoftheArtistasaYoungMan(Paperback),48.jpg,https://www.goodreads.com/book/show/7588.A_Portrait_of_the_Artist_as_a_Young_Man,"James Joyce, Seamus Deane (Annotations)",3.58,80852,Classics,329,350,111,345,199,132,456,94,85,528,237,0.613,0.606,,,254,16,78,15
437,AppointmentinSamarra(Paperback),49.jpg,https://www.goodreads.com/book/show/126583.Appointment_in_Samarra,John O'Hara,3.83,8508,Fiction,251,478,482,96,180,46,338,144,94,398,437,0.213,0.218,,,543,72,405,441
147,APrayerforOwenMeany(Paperback),50.jpg,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,John Irving (Goodreads Author),4.21,200559,Fiction,637,53,115,491,21,120,285,185,269,101,147,0.762,0.742,,,370,243,53,259
480,AprilFool'sDay(Hardcover),51.jpg,https://www.goodreads.com/book/show/510247.April_Fool_s_Day,Bryce Courtenay,4.14,4468,NonFiction,673,481,761,143,44,80,143,162,164,145,480,0.154,0.147,,,504,69,232,546
465,Arguably:SelectedEssays(Hardcover),52.jpg,https://www.goodreads.com/book/show/10383597-arguably,Christopher Hitchens,4.19,5587,NonFiction,816,105,799,84,12,115,489,38,142,117,465,0.167,0.17,,,426,221,368,35
214,AroundtheWorldinEightyDays(Paperback),53.jpg,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days,"Jules Verne, Michael Glencross (Translator, Annotations), Brian W. Aldiss (Introduction)",3.88,105207,Classics,252,19,237,524,64,146,334,45,126,353,214,0.669,0.636,,,69,127,428,121
116,ArtemisFowl(ArtemisFowl#1),54.jpg,https://www.goodreads.com/book/show/249747.Artemis_Fowl,Eoin Colfer,3.79,301680,Fantasy,316,343,627,473,35,150,494,130,86,426,116,0.802,0.795,,,283,368,297,83
184,ASeparatePeace(Paperback),55.jpg,https://www.goodreads.com/book/show/5148.A_Separate_Peace,John Knowles,3.55,133269,Classics,204,298,124,183,70,159,252,169,39,535,184,0.711,0.683,,,426,261,273,199
231,AsILayDying(Paperback),56.jpg,https://www.goodreads.com/book/show/77013.As_I_Lay_Dying,William Faulkner,3.72,83806,Classics,267,471,731,8,102,157,288,28,187,476,231,0.623,0.616,,,518,325,439,453
507,AspectsoftheNovel(Paperback),57.jpg,https://www.goodreads.com/book/show/263341.Aspects_of_the_Novel,E.M. Forster,3.82,2205,NonFiction,192,160,543,448,86,133,418,141,317,404,507,0.094,0.092,,,499,200,230,8
333,ASuitableBoy(ASuitableBoy#1),58.jpg,https://www.goodreads.com/book/show/50365.A_Suitable_Boy,Vikram Seth,4.08,28388,Fiction,1474,74,485,320,127,113,456,128,176,187,333,0.398,0.427,,,303,274,499,300
60,ATaleofTwoCities(Paperback),59.jpg,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,"Charles Dickens, Richard Maxwell (Editor, Introduction), Hablot Knight Browne (Illustrator)",3.77,544021,Classics,489,216,666,18,62,68,360,126,141,439,60,0.886,0.887,,,185,154,192,313
517,ATestamentofHope:TheEssentialWritingsandSpeeches(Paperback),60.jpg,https://www.goodreads.com/book/show/53360.A_Testament_of_Hope,"Martin Luther King Jr., James Washington",4.55,1187,NonFiction,736,375,404,254,229,146,407,199,92,5,517,0.073,0.082,,,1,84,8,52
55,AThousandSplendidSuns(Hardcover),61.jpg,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini (Goodreads Author),4.31,627860,Fiction,372,490,301,102,185,63,456,143,341,52,55,0.896,0.894,1,1,254,389,26,246
65,ATimetoKill(JakeBrigance#1),62.jpg,https://www.goodreads.com/book/show/32542.A_Time_to_Kill,John Grisham (Goodreads Author),3.97,498121,Fiction,544,51,210,223,231,151,154,26,230,285,65,0.88,0.881,,,518,101,13,379
138,AtlasShrugged(Paperback),63.jpg,https://www.goodreads.com/book/show/662.Atlas_Shrugged,"Ayn Rand, Leonard Peikoff (Goodreads Author) (Introduction)",3.66,231712,Fiction,1168,569,457,578,74,26,317,75,209,498,138,0.773,0.764,,,460,260,307,505
119,Atonement(Paperback),64.jpg,https://www.goodreads.com/book/show/6867.Atonement,Ian McEwan,3.84,296738,Fiction,351,370,729,306,216,33,343,174,350,388,119,0.799,0.794,,,184,256,167,511
330,ATownLikeAlice(Paperback),65.jpg,https://www.goodreads.com/book/show/107301.A_Town_Like_Alice,Nevil Shute,4.11,29515,Fiction,359,438,419,63,228,99,455,89,123,162,330,0.404,0.433,,,306,31,246,118
453,ATreatiseofHumanNature,66.jpg,https://www.goodreads.com/book/show/80311.A_Treatise_of_Human_Nature,David Hume,3.88,6822,Philosophy,1740,113,182,328,139,20,362,130,356,354,453,0.193,0.188,,,189,376,538,394
484,AttheBackoftheNorthWind(Hardcover),67.jpg,https://www.goodreads.com/book/show/269713.At_the_Back_of_the_North_Wind,"George MacDonald, Arthur Hughes (Illustrator)",3.97,3903,Fantasy,346,473,700,238,142,147,158,55,53,284,484,0.148,0.138,,,218,129,543,222
451,Austerlitz(Paperback),68.jpg,https://www.goodreads.com/book/show/88442.Austerlitz,"W.G. Sebald, Anthea Bell (Translator)",4.04,7129,Fiction,432,13,537,127,211,177,476,71,70,221,451,0.197,0.188,,,398,355,331,510
208,AVisitfromtheGoonSquad(Hardcover),69.jpg,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad,Jennifer Egan (Goodreads Author),3.63,110748,Fiction,274,101,394,385,73,142,442,44,136,510,208,0.676,0.651,,,477,82,383,448
72,AWrinkleinTime(AWrinkleinTimeQuintet#1),70.jpg,https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time,Madeleine L'Engle,4.04,469271,Fantasy,211,73,245,315,178,116,150,100,65,223,72,0.872,0.863,,,324,120,361,304
447,BarchesterTowers(Paperback),71.jpg,https://www.goodreads.com/book/show/125321.Barchester_Towers,Anthony Trollope,3.99,7515,Classics,418,227,366,159,28,115,204,82,301,257,447,0.202,0.196,,,349,293,365,347
505,BasicWritingsofNietzsche(Paperback),72.jpg,https://www.goodreads.com/book/show/12319.Basic_Writings_of_Nietzsche,"Friedrich Nietzsche, Walter Kaufmann (Translator/Editor), Peter Gay (Introduction)",4.05,2273,Philosophy,862,125,255,0,107,96,381,216,45,206,505,0.097,0.094,,,468,58,52,240
328,BattleRoyale(Paperback),73.jpg,https://www.goodreads.com/book/show/57891.Battle_Royale,"Koushun Takami, Yuji Oniki (Translator)",4.24,30302,Fiction,617,228,510,331,184,83,376,39,44,85,328,0.412,0.435,,,439,518,302,215
163,BelCanto(Paperback),74.jpg,https://www.goodreads.com/book/show/5826.Bel_Canto,Ann Patchett,3.9,159822,Fiction,352,85,764,483,35,101,239,120,276,347,163,0.738,0.718,,,174,328,541,553
148,Beloved(Paperback),75.jpg,https://www.goodreads.com/book/show/6149.Beloved,Toni Morrison,3.72,191556,Fiction,324,359,718,147,103,74,273,194,281,475,148,0.759,0.741,,,348,506,421,440
539,Beowulf:Dragonslayer(Paperback),76.jpg,https://www.goodreads.com/book/show/903004.Beowulf,"Rosemary Sutcliff, Charles Keeping (Illustrator)",3.49,229,Fiction,96,558,274,196,175,43,257,171,48,541,539,0.03,0.029,,,22,480,100,420
300,Birdsong(Paperback),77.jpg,https://www.goodreads.com/book/show/6259.Birdsong,Sebastian Faulks,4.04,42789,History,483,573,745,8,217,156,412,135,232,220,300,0.452,0.498,,,363,380,199,122
169,BlackBeauty(Paperback),78.jpg,https://www.goodreads.com/book/show/3685.Black_Beauty,Anna Sewell,3.92,154936,Classics,245,253,284,62,59,173,236,31,197,329,169,0.733,0.706,,,44,383,410,349
277,BleakHouse(Paperback),79.jpg,https://www.goodreads.com/book/show/31242.Bleak_House,"Charles Dickens, Nicola Bradbury (Annotations), Hablot Knight Browne (Illustrations)",3.98,54570,Classics,1017,27,349,243,18,179,345,95,335,268,277,0.51,0.532,,,85,457,98,8
353,Blubber(Paperback),80.jpg,https://www.goodreads.com/book/show/37739.Blubber,Judy Blume,3.76,22503,YoungAdult,127,175,440,297,110,156,304,111,357,448,353,0.365,0.387,,,293,43,57,482
235,BorntoRun:AHiddenTribeSuperathletesandtheGreatestRacetheWorldHasNeverSeen(Hardcover),81.jpg,https://www.goodreads.com/book/show/6289283-born-to-run,Christopher McDougall,4.28,81597,NonFiction,287,266,137,93,114,77,206,137,43,62,235,0.617,0.612,,,156,80,392,115
45,BraveNewWorld(Paperback),82.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,Aldous Huxley,3.93,807679,Classics,268,57,491,158,229,102,479,55,92,317,45,0.923,0.919,,,511,440,414,213
440,Breath(Hardcover),83.jpg,https://www.goodreads.com/book/show/2176735.Breath,Tim Winton,3.77,8197,Fiction,218,549,746,144,140,134,294,213,328,438,440,0.209,0.216,,,477,554,113,482
271,BridesheadRevisited(Paperback),84.jpg,https://www.goodreads.com/book/show/30933.Brideshead_Revisited,Evelyn Waugh,3.98,57807,Classics,351,259,716,322,81,73,486,57,125,267,271,0.527,0.544,,,252,281,375,411
59,BridgetJones'sDiary(BridgetJones#1),85.jpg,https://www.goodreads.com/book/show/227443.Bridget_Jones_s_Diary,Helen Fielding (Goodreads Author),3.71,587182,Fiction,271,174,263,165,194,103,362,208,233,484,59,0.889,0.888,,,421,102,339,256
442,CaptainBlood(Paperback),86.jpg,https://www.goodreads.com/book/show/158446.Captain_Blood,Rafael Sabatini,4.14,8093,Classics,236,476,649,409,14,11,485,42,233,144,442,0.208,0.209,,,318,435,496,335
282,CaptainCorelli'sMandolin(Paperback),87.jpg,https://www.goodreads.com/book/show/3388.Captain_Corelli_s_Mandolin,Louis de Berni�res,3.91,52449,Fiction,437,421,319,437,237,160,170,40,292,333,282,0.497,0.522,,,325,247,114,129
80,Catch-22(Paperback),88.jpg,https://www.goodreads.com/book/show/168668.Catch_22,Joseph Heller,3.97,429951,Classics,453,388,550,279,77,27,223,156,144,283,80,0.862,0.853,,,159,8,455,158
6,CatchingFire(TheHungerGames#2),89.jpg,https://www.goodreads.com/book/show/6148028-catching-fire,Suzanne Collins,4.31,1581595,YoungAdult,405,202,432,76,135,75,181,41,172,51,6,0.991,0.992,1,3,250,341,12,529
89,CharlieandtheChocolateFactory(CharlieBucket#1),90.jpg,https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,"Roald Dahl, Quentin Blake (Illustrations)",4.08,394959,Childrens,176,59,716,221,86,123,177,180,229,186,89,0.845,0.836,,,135,413,475,248
48,Charlotte'sWeb(Paperback),91.jpg,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,"E.B. White, Garth Williams (Illustrator), Rosemary Wells (Illustrations)",4.11,742502,Childrens,192,12,505,522,190,104,410,177,206,160,48,0.92,0.91,,,437,317,332,41
419,CheGuevara:ARevolutionaryLife(Paperback),92.jpg,https://www.goodreads.com/book/show/10836.Che_Guevara,Jon Lee Anderson,4.1,10867,Biography,832,174,537,50,153,13,103,134,79,172,419,0.25,0.259,,,380,40,214,468
248,Chocolat(Chocolat#1),93.jpg,https://www.goodreads.com/book/show/47401.Chocolat,Joanne Harris (Goodreads Author),3.92,71077,Romance,306,336,711,480,15,80,273,82,147,328,248,0.603,0.58,,,475,20,471,272
410,CivilDisobedienceandOtherEssays(CollectedEssays),94.jpg,https://www.goodreads.com/book/show/16900.Civil_Disobedience_and_Other_Essays,Henry David Thoreau,4.04,12043,Philosophy,188,17,550,405,240,112,401,148,278,219,410,0.265,0.278,,,488,334,18,97
473,ClarissaortheHistoryofaYoungLady(Paperback),95.jpg,https://www.goodreads.com/book/show/529243.Clarissa_or_the_History_of_a_Young_Lady,"Samuel Richardson, Angus Ross (Editor)",3.31,4902,Classics,1534,520,297,64,64,149,274,110,240,552,473,0.162,0.161,,,423,361,85,49
191,CloudAtlas(Paperback),96.jpg,https://www.goodreads.com/book/show/49628.Cloud_Atlas,David Mitchell,4.01,129701,Fiction,509,549,132,41,33,152,218,217,281,239,191,0.706,0.671,,,455,20,233,340
422,Cloudstreet(Paperback),97.jpg,https://www.goodreads.com/book/show/343881.Cloudstreet,Tim Winton,3.97,10471,Fiction,426,195,537,119,40,73,458,55,350,282,422,0.244,0.254,,,525,118,461,272
344,ColdComfortFarm(Paperback),98.jpg,https://www.goodreads.com/book/show/92780.Cold_Comfort_Farm,"Stella Gibbons, Lynne Truss (Introduction), Roz Chast (Illustrations)",3.92,23968,Fiction,233,359,381,303,75,121,413,85,107,327,344,0.379,0.399,,,218,511,348,170
416,CommonSenseTheRightsofManandOtherEssentialWritings(Paperback),99.jpg,https://www.goodreads.com/book/show/99955.Common_Sense_The_Rights_of_Man_and_Other_Essential_Writings,"Thomas Paine, Sidney Hook (Introduction), Jack Fruchtman Jr. (Foreword)",4.1,11165,Philosophy,416,424,504,226,134,142,427,54,58,171,416,0.251,0.268,,,154,385,87,494
342,Confessions(OxfordWorld'sClassics),100.jpg,https://www.goodreads.com/book/show/27037.Confessions,"Saint Augustine, Henry Chadwick (Translator/Introduction)",3.84,24288,Philosophy,311,551,354,348,229,57,217,178,75,387,342,0.382,0.4,,,523,117,287,67
486,Confessions(World'sClassics),101.jpg,https://www.goodreads.com/book/show/12649.Confessions,"Jean-Jacques Rousseau, Patrick Coleman (Editor), Angela Scholar (Translator)",3.58,3713,Philosophy,676,178,717,50,154,89,427,119,135,527,486,0.143,0.131,,,332,312,544,40
499,CopHater(87thPrecinct#1),102.jpg,https://www.goodreads.com/book/show/425164.Cop_Hater,Ed McBain,3.78,2837,Mystery,160,147,687,111,58,29,293,82,60,435,499,0.124,0.106,,,24,39,311,553
107,CrimeandPunishment(Paperback),103.jpg,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,"Fyodor Dostoyevsky, David McDuff (Translator)",4.15,326152,Classics,545,286,314,250,116,160,239,138,329,140,107,0.818,0.808,,,55,416,164,41
383,CritiqueofPureReason(Paperback),104.jpg,https://www.goodreads.com/book/show/18288.Critique_of_Pure_Reason,"Immanuel Kant, Paul Guyer (Editor), Allen W. Wood (Editor)",3.86,15503,Philosophy,800,69,781,227,113,167,282,201,257,375,383,0.307,0.334,,,101,238,349,59
361,DaringGreatly:HowtheCouragetoBeVulnerableTransformstheWayWeLiveLoveParentandLead(Hardcover),105.jpg,https://www.goodreads.com/book/show/13588356-daring-greatly,Bren� Brown (Goodreads Author),4.24,20885,NonFiction,260,299,274,510,205,93,170,66,117,84,361,0.348,0.371,,,216,221,46,519
393,DarknessatNoon(Paperback),106.jpg,https://www.goodreads.com/book/show/30672.Darkness_at_Noon,"Arthur Koestler, Daphne Hardy (translator)",4.04,14574,Fiction,216,511,520,579,73,138,479,37,269,218,393,0.296,0.327,,,380,368,371,207
196,DavidCopperfield(Paperback),107.jpg,https://www.goodreads.com/book/show/58696.David_Copperfield,"Charles Dickens, Jeremy Tambling (Introduction)",3.94,126368,Classics,974,492,289,465,58,172,101,124,30,309,196,0.7,0.667,,,493,432,265,204
315,DeadSouls(Paperback),108.jpg,https://www.goodreads.com/book/show/28381.Dead_Souls,"Nikolai Gogol, Robert A. Maguire (Editor)",3.98,34618,Fiction,464,112,687,165,143,42,162,188,136,266,315,0.426,0.463,,,83,70,362,460
362,Deliverance(Paperback),109.jpg,https://www.goodreads.com/book/show/592657.Deliverance,James Dickey,3.84,20868,Fiction,278,203,241,47,32,98,312,147,334,386,362,0.343,0.37,,,420,421,172,65
401,DemocracyinAmerica(Paperback),110.jpg,https://www.goodreads.com/book/show/16619.Democracy_in_America,"Alexis de Tocqueville, Isaac Kramnick (Introduction), Gerald Bevan (Translation)",3.96,13254,Philosophy,992,538,127,464,180,123,386,80,77,291,401,0.28,0.303,,,95,43,324,211
